recommender,runtime
"PlaytimeBasedRecommenderSystem with CosineUserSimilarity(pgdata=PlayerGamesPlaytime(LinearPN_sum_maxmamt60_5.0x, rel_0.60, lsh_0.80, 128, 32))",61063.855001
"PlaytimeBasedRecommenderSystem with CosineUserSimilarity(pgdata=PlayerGamesPlaytime(LogPN_sum_maxmamt60_5.0x, rel_0.60, lsh_0.80, 128, 32))",61105.110997
"PlaytimeBasedRecommenderSystem with CosineUserSimilarity(pgdata=PlayerGamesPlaytime(RootPN_sum_maxmamt60_5x_2root, rel_0.60, lsh_0.80, 128, 32))",61033.860001
"PlaytimeBasedRecommenderSystem with PearsonUserSimilarity(pgdata=PlayerGamesPlaytime(LinearPN_sum_maxmamt60_5.0x, rel_0.60, lsh_0.80, 128, 32))",94042.028500
"PlaytimeBasedRecommenderSystem with PearsonUserSimilarity(pgdata=PlayerGamesPlaytime(LogPN_sum_maxmamt60_5.0x, rel_0.60, lsh_0.80, 128, 32))",95043.246704
"PlaytimeBasedRecommenderSystem with PearsonUserSimilarity(pgdata=PlayerGamesPlaytime(RootPN_sum_maxmamt60_5x_2root, rel_0.60, lsh_0.80, 128, 32))",95983.369502
"PlaytimeBasedRecommenderSystem with RawUserSimilarity(pgdata=PlayerGamesPlaytime(LinearPN_sum_maxmamt60_5.0x, rel_0.60, lsh_0.80, 128, 32))",65261.462503
"PlaytimeBasedRecommenderSystem with RawUserSimilarity(pgdata=PlayerGamesPlaytime(LogPN_sum_maxmamt60_5.0x, rel_0.60, lsh_0.80, 128, 32))",65443.070999
"PlaytimeBasedRecommenderSystem with RawUserSimilarity(pgdata=PlayerGamesPlaytime(RootPN_sum_maxmamt60_5x_2root, rel_0.60, lsh_0.80, 128, 32))",65674.903999
"RandomRecommenderSystem",4.709501
"RatingBasedRecommenderSystem",705.539999
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.30, idf_w=0.00, perm=128, part=32)",11755.107604
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.30, idf_w=0.15, perm=128, part=32)",11344.161609
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.30, idf_w=0.30, perm=128, part=32)",10999.538602
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.30, idf_w=0.60, perm=128, part=32)",11594.834605
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.42, idf_w=0.00, perm=128, part=32)",8863.916747
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.42, idf_w=0.15, perm=128, part=32)",8488.361988
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.42, idf_w=0.30, perm=128, part=32)",9047.264516
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.42, idf_w=0.60, perm=128, part=32)",7516.963363
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.55, idf_w=0.00, perm=128, part=32)",3203.492000
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.55, idf_w=0.15, perm=128, part=32)",3059.564498
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.55, idf_w=0.30, perm=128, part=32)",2788.252000
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.55, idf_w=0.60, perm=128, part=32)",2243.876213
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.68, idf_w=0.00, perm=128, part=32)",938.327499
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.68, idf_w=0.15, perm=128, part=32)",894.762499
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.68, idf_w=0.30, perm=128, part=32)",795.988000
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.68, idf_w=0.60, perm=128, part=32)",672.880924
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.80, idf_w=0.00, perm=128, part=32)",857.809696
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.80, idf_w=0.30, perm=128, part=32)",703.808500
"Recommender from CosineGameTagSimilarity with game_tags=GameTags(thres=0.80, idf_w=0.60, perm=128, part=32)",602.816205
